city,station_code,latitude,longitude,station_name,region
Alto Hospicio,RI/117,-20.290466881209,-70.100192427636,Alto Hospicio,I
Tocopilla,RII/201,-22.093082,-70.20121,Gobernación,II
Mejillones,RII/209,-23.098798,-70.442765,Jardín Infantil Integra,II
Calama,RII/217,-22.454016027306,-68.910147884933,Hospital del Cobre,II
Tocopilla,RII/230,-22.111064,-70.210828,Bomberos,II
Tocopilla,RII/231,-22.060287005823,-70.187401439495,Tres Marias,II
Calama,RII/233,-22.460270722943,-68.937706917007,Club Deportivo 23 de Marzo,II
Calama,RII/234,-22.464835957564,-68.920969963074,Oasis,II
Calama,RII/235,-22.44283906304,-68.932546346863,Colegio Pedro Vergara Keller,II
Calama,RII/236,-22.462144644634,-68.92806169339,Estación Centro,II
Antofagasta,RII/237,-23.61354215815,-70.383315682411,Antofagasta,II
Calama,RII/253,-22.342971402789,-68.648661344727,Nueva ChiuChiu,II
Huasco,RIII/301,-28.500572964292,-71.254313682556,SM1 ,III
Huasco,RIII/302,-28.461865976957,-71.181390767212,SM2,III
Huasco,RIII/303,-28.471972699163,-71.178309166023,SM3 ,III
Huasco,RIII/304,-28.481300969425,-71.167198427408,SM4 ,III
Huasco,RIII/305,-28.484485273511,-71.146118224884,SM5 ,III
Freirina,RIII/306,-28.503649842345,-71.126531945122,SM6 ,III
Freirina,RIII/307,-28.497964596656,-71.096081461655,SM7 ,III
Freirina,RIII/308,-28.507409284386,-71.081571711987,SM8 ,III
Huasco,RIII/309,-28.470340876399,-71.218828907093,EME M,III
Huasco,RIII/310,-28.466423001884,-71.221554279327,EME F,III
Huasco,RIII/329,-28.466498454912,-71.230636239723,Huasco II,III
Huasco,RIII/330,-28.467795302879,-71.22729152441,21 de Mayo,III
Copiapó,RIII/332,-27.370329154948,-70.323906678352,Copiapo Sivica,III
Huasco,RIII/333,-28.469998068842,-71.219652562817,Huasco Sivica,III
Chañaral,RIII/334,-26.335751545006,-70.612341660763,Chañaral,III
Andacollo,RIV/411,-30.255042,-71.084707,Chepiquilla,IV
Andacollo,RIV/415,-30.239515,-71.085853,Urmeneta - Plaza Centenario,IV
Andacollo,RIV/420,-30.227767752117,-71.086126833637,Andacollo,IV
Salamanca,RIV/424,-31.889278312544,-70.629311769684,Cuncumen ,IV
Coquimbo,RIV/425,-29.933006518748,-71.261966365967,La Serena,IV
Coquimbo,RIV/426,-29.970390235273,-71.336038250122,Coquimbo,IV
Puchuncaví,RV/503,-32.748154,-71.474204,La Greda,V
Puchuncaví,RV/504,-32.764139,-71.454494,Los Maitenes,V
Puchuncaví,RV/505,-32.718839486418,-71.407960598881,Puchuncaví,V
Quintero,RV/506,-32.801440927101,-71.484100560852,Sur,V
Quintero,RV/507,-32.807512,-71.436274,Valle Alegre,V
Concón,RV/509,-32.924568,-71.515399,Concón,V
Concón,RV/511,-32.929552,-71.440571,Colmo,V
Concón,RV/512,-32.915458,-71.48148,Las Gaviotas,V
Quillota,RV/513,-32.885091,-71.246854,Cuerpo de Bomberos ,V
Quillota,RV/514,-32.937001,-71.273726,San Pedro,V
Quillota,RV/515,-32.891794,-71.208638,La Palma,V
Panquehue,RV/521,-32.797715,-70.898037,Lo Campo,V
Catemu,RV/522,-32.779208,-70.959114,Catemu,V
Catemu,RV/523,-32.823956,-71.006441,Romeral,V
Catemu,RV/524,-32.776573,-70.938144,Santa Margarita,V
Viña del Mar,RV/529,-33.020419817382,-71.550092842922,Viña del Mar,V
Los Andes,RV/532,-32.844124,-70.592135,Los Andes,V
Concón,RV/535,-32.935167,-71.52577,Junta de Vecinos,V
Quintero,RV/540,-32.772516452112,-71.535303287094,Quintero,V
Quintero,RV/547,-32.794968417299,-71.496099073086,Loncura,V
Puchuncaví,RV/548,-32.741815962175,-71.480882901344,Ventanas,V
Valparaíso,RV/550,-33.049743798096,-71.614167231712,Valparaiso,V
Quilpué,RV/551,-33.047630211689,-71.438813209534,Quilpue Gimnasio,V
Machalí,RVI/604,-34.203524,-70.529854,Coya Población,VI
Machalí,RVI/605,-34.261909,-70.463219,Cipreses,VI
Machalí,RVI/606,-34.241168,-70.55283,Cauquenes,VI
Rancagua,RVI/609,-34.162314609087,-70.713919225517,Rancagua I,VI
Rengo,RVI/611,-34.394541417902,-70.852981542328,Rengo,VI
San Fernando,RVI/612,-34.579759917069,-70.989685186508,San Fernando,VI
Rancagua,RVI/615,-34.143888375919,-70.737131207664,Rancagua II,VI
Talca,RVII/703,-35.435141887663,-71.678261499336,La Florida,VII
Curicó,RVII/709,-34.974925077541,-71.233967512329,Curicó,VII
Talca,RVII/710,-35.435725588722,-71.619553864003,U.C. Maule,VII
Talca,RVII/711,-35.406582744695,-71.633396474869,Universidad de Talca,VII
Linares,RVII/713,-35.836942234921,-71.592865853985,Linares,VII
Cauquenes,RVII/714,-35.969115075775,-72.316818237305,Cauquenes Sivica,VII
Talcahuano,RVIII/802,-36.723695141848,-73.123658865174,Consultorio - San Vicente,VIII
Hualpén,RVIII/804,-36.780632,-73.115657,JUNJI,VIII
Hualpén,RVIII/805,-36.803034,-73.120527,Bocatoma,VIII
Talcahuano,RVIII/806,-36.737202,-73.104427,Inpesca,VIII
Talcahuano,RVIII/807,-36.769803,-73.113708,Indura,VIII
Coronel,RVIII/816,-37.031702,-73.138689,Coronel Sur,VIII
Tomé,RVIII/830,-36.601713211434,-72.958522830688,Liceo Polivalente,VIII
Coronel,RVIII/831,-37.021182877699,-73.149555550926,Cerro Merquín,VIII
Curanilahue,RVIII/832,-37.485131692556,-73.331626473541,Balneario Curanilahue,VIII
Talcahuano,RVIII/837,-36.735998,-73.118693,Nueva Libertad,VIII
Hualpén,RVIII/838,-36.791231,-73.119152,ENAP Price,VIII
Hualqui,RVIII/841,-36.97743148785,-72.932017713268,Hualqui,VIII
Chiguayante,RVIII/854,-36.923329602986,-73.036132300941,Punteras,VIII
Coronel,RVIII/859,-37.100696257418,-73.155760394707,Lota rural,VIII
Coronel,RVIII/860,-37.077619809695,-73.154136498581,Lota urbana,VIII
Chillán,RXVI/873,-36.616167751711,-72.093040558483,Puren,XVI
Los Angeles,RVIII/874,-37.463035064801,-72.324575155457,Los Ángeles Oriente,VIII
Los Angeles,RVIII/875,-37.471182288689,-72.36146284977,21 de mayo,VIII
Coronel,RVIII/878,-37.009021343988,-73.14909696579,Coronel Norte,VIII
Coronel,RVIII/879,-36.984579193699,-73.152648210526,"Lagunillas, ENEL",VIII
Coronel,RVIII/880,-36.954315879984,-73.150448799133,"Escuadron, ENEL",VIII
Coronel,RVIII/881,-36.933633609856,-73.152701854706,"Escuadron, ENESA",VIII
San Carlos,RXVI/884,-36.416240486447,-71.967744827271,San Carlos,XVI
Temuco,RIX/901,-38.748650731093,-72.619012605804,Las Encinas Temuco,IX
Padre las Casas,RIX/902,-38.764767451719,-72.598795682209,Padre Las Casas II,IX
Temuco,RIX/905,-38.727003260042,-72.580001950264,Ñielol,IX
Villarrica,RIX/906,-39.290485097831,-72.222104072571,Villarrica,IX
Osorno,RX/A01,-40.584478665958,-73.11871982209,Osorno,X
Puerto Montt,RX/A07,-41.4795069236,-72.968755930145,Mirasol,X
Puerto Montt,RX/A08,-41.399169537038,-72.899522781372,Alerce,X
Puerto Varas,RX/A09,-41.328935085299,-72.968208759506,Puerto Varas,X
Osorno,RX/AA2,-40.581945892399,-73.173134892662,Universidad de Los Lagos,X
Coyhaique,RXI/B03,-45.57996447948,-72.061125987766,Coyhaique,XI
Coyhaique,RXI/B04,-45.579045667164,-72.049964505825,Coyhaique II,XI
Aysén,RXI/B05,-45.40680023471,-72.696259617805,Vialidad,XI
Cochrane,RXI/B06,-47.254803255147,-72.571392059326,Cochrane,XI
La Florida,RM/D12,-33.516630362266,-70.588123961971,La Florida (Acreditada),RM
